name,email,firstName,lastName,middleName,targetValue,status,registeredTime,deregisteredTime,lastContactTime,lastInternalIpAddress,lastExternalIpAddress,deviceType,deviceGroupName,windowsPlatform,osVersion,sensorVersion,avEngine
"SENTINEL\WESCOTT1",SENTINEL\reserve m,"","","",MEDIUM,REGISTERED,2017-01-12-175721,"",2017-08-22-150532,"",173.251.20.37,WINDOWS,"default","",Windows 7 x64 SP: 1,1.0.6.161,""
"SENTINEL\MIATA",SENTINEL\miata,"","","",MEDIUM,REGISTERED,2017-01-12-175153,"",2017-08-22-150526,"",173.251.20.37,WINDOWS,"default","",Windows 7 x64 SP: 1,1.0.6.161,""
"SENTINEL\STAVRIDES",SENTINEL\stavrides,"","","",MEDIUM,REGISTERED,2017-01-12-175541,"",2017-08-22-150520,127.0.0.1,173.251.20.37,WINDOWS,"default","",Windows 7 x64 SP: 1,1.0.6.161,""
"SENTINEL\GRELL1",SENTINEL\fagan,"","","",MEDIUM,REGISTERED,2017-05-02-160537,"",2017-08-22-150518,"",173.251.20.37,WINDOWS,"default","",Windows 7 x64 SP: 1,1.0.6.161,""
"SENTINEL\exchange4",SENTINEL\bona,"","","",MEDIUM,REGISTERED,2016-11-04-162849,"",2017-08-22-150518,"",173.251.20.53,WINDOWS,"default","",Server 2008 R2 x64 SP: 1,1.0.6.161,""
"SENTINEL\LOFTLAKEVIEW14",SENTINEL\loftsatlakeviewa,"","","",MEDIUM,REGISTERED,2017-08-22-141349,"",2017-08-22-150516,"",173.251.20.37,WINDOWS,"default","",Windows 7 x64 SP: 1,1.0.6.161,""
"SENTINEL\QUINNCROSSING50",SENTINEL\Quinns,"","","",MEDIUM,REGISTERED,2017-08-22-141419,"",2017-08-22-150511,"",173.251.20.37,WINDOWS,"default","",Windows 7 x64 SP: 1,1.0.6.161,""
"SENTINEL\WILLOWSPRINGS4",SENTINEL\willowspringsl,"","","",MEDIUM,REGISTERED,2017-08-22-141445,"",2017-08-22-150511,"",173.251.20.37,WINDOWS,"default","",Windows 7 x64 SP: 1,1.0.6.161,""
"SENTINEL\VAZQUEZ",SENTINEL\vazquez,"","","",MEDIUM,REGISTERED,2017-08-22-141135,"",2017-08-22-150504,"",173.251.20.37,WINDOWS,"default","",Windows 7 x64 SP: 1,1.0.6.161,""
"SENTINEL\JOUMAS",SENTINEL\joumas,"","","",MEDIUM,REGISTERED,2017-08-22-142220,"",2017-08-22-150459,"",173.251.20.37,WINDOWS,"default","",Windows 7 x64 SP: 1,1.0.6.161,""
"SENTINEL\DIPIETRANTONIO",SENTINEL\dipietrantonio,"","","",MEDIUM,REGISTERED,2017-02-16-144854,"",2017-08-22-150446,127.0.0.1,173.251.20.37,WINDOWS,"default","",Windows 7 x64 SP: 1,1.0.6.161,""
"SENTINEL\olds-w10",SENTINEL\olds,"","","",MEDIUM,REGISTERED,2016-11-01-133547,"",2017-08-22-150443,127.0.0.1,173.251.20.37,WINDOWS,"default","",Windows 10 x64,1.0.6.161,""
"SENTINEL\LARATRO",SENTINEL\laratro,"","","",MEDIUM,REGISTERED,2017-01-12-174816,"",2017-08-22-150439,"",173.251.20.37,WINDOWS,"default","",Windows 7 x64 SP: 1,1.0.6.161,""
"SENTINEL\BRENTWOODOAK2",SENTINEL\brentwooda,"","","",MEDIUM,REGISTERED,2017-08-22-141327,"",2017-08-22-150439,"",173.251.20.37,WINDOWS,"default","",Windows 7 x64 SP: 1,1.0.6.161,""
"SENTINEL\TANNENBAUM",SENTINEL\satalich,"","","",MEDIUM,REGISTERED,2016-11-29-180217,"",2017-08-22-150433,127.0.0.1,173.251.20.37,WINDOWS,"default","",Windows 7 x64 SP: 1,1.0.6.161,""
"SENTINEL\CAWLEYK",SENTINEL\cawley,"","","",MEDIUM,REGISTERED,2017-01-13-161546,"",2017-08-22-150423,127.0.0.1,173.251.20.37,WINDOWS,"default","",Windows 7 x64 SP: 1,1.0.6.161,""
"SENTINEL\CHAN",SENTINEL\chan,"","","",MEDIUM,REGISTERED,2017-04-17-155647,"",2017-08-22-150348,127.0.0.1,173.251.20.37,WINDOWS,"default","",Windows 7 x64 SP: 1,1.0.6.161,""
"SENTINEL\LACOSTA13",SENTINEL\lacostal,"","","",MEDIUM,REGISTERED,2017-08-22-141406,"",2017-08-22-150347,"",173.251.20.37,WINDOWS,"default","",Windows 7 x64 SP: 1,1.0.6.161,""
"SENTINEL\CENTERPOINTE1",SENTINEL\centrepointe,"","","",MEDIUM,REGISTERED,2017-08-22-141238,"",2017-08-22-150344,"",173.251.20.37,WINDOWS,"default","",Windows 7 x64 SP: 1,1.0.6.161,""
