name,email,firstName,lastName,middleName,targetValue,status,registeredTime,deregisteredTime,lastContactTime,lastInternalIpAddress,lastExternalIpAddress,deviceType,deviceGroupName,windowsPlatform,osVersion,sensorVersion,avEngine
"SENTINEL\tws1",SENTINEL\olds,"","","",MEDIUM,REGISTERED,2017-01-18-210537,"",2017-08-22-173430,"",173.251.20.37,WINDOWS,"default","",Server 2008 R2 x64 SP: 1,1.0.6.161,""
"SENTINEL\CHAMBERSV (S-1-5-21-753412686-597961653-1159422225-22732)",SENTINEL\chambers,"","","",MEDIUM,REGISTERED,2017-03-24-195545,"",2017-08-22-173429,"",173.251.20.37,WINDOWS,"default","",Windows 7 x86 SP: 1,1.0.6.161,""
"zagredaimac2017.sentinelcorp.com",zagredaimac2017.sentinelcorp.com,"","","",MEDIUM,REGISTERED,2017-05-16-192704,"",2017-08-22-173428,172.17.8.20,173.251.20.37,MAC,"New_Sensors","",MAC OS X 10.12.6,1.2.2.11,""
"SENTINEL\LACOSTA1",SENTINEL\lacosta m,"","","",MEDIUM,REGISTERED,2017-01-12-175023,"",2017-08-22-173425,"",173.251.20.37,WINDOWS,"default","",Windows 7 x64 SP: 1,1.0.6.161,""
"SENTINEL\CHANDRAPAUL",SENTINEL\chandrapaul,"","","",MEDIUM,REGISTERED,2016-11-02-193015,"",2017-08-22-173424,127.0.0.1,173.251.20.37,WINDOWS,"default","",Windows 7 x64 SP: 1,1.0.6.161,""
"SENTINEL\GLENBROOK50",SENTINEL\glenbrooks,"","","",MEDIUM,REGISTERED,2017-01-12-174203,"",2017-08-22-173416,"",173.251.20.37,WINDOWS,"default","",Windows 7 x64 SP: 1,1.0.6.161,""
"SENTINEL\DEERWOOD50",SENTINEL\colonyatdeerwoods,"","","",MEDIUM,REGISTERED,2017-08-22-141436,"",2017-08-22-173416,"",173.251.20.37,WINDOWS,"default","",Windows 7 x64 SP: 1,1.0.6.161,""
"SENTINEL\SYCAMORE13",SENTINEL\sycamore l,"","","",MEDIUM,REGISTERED,2017-01-12-175709,"",2017-08-22-173410,"",173.251.20.37,WINDOWS,"default","",Windows 7 x64 SP: 1,1.0.6.161,""
"SENTINEL\THECOMMONS2",SENTINEL\the commons m,"","","",MEDIUM,REGISTERED,2017-01-12-175720,"",2017-08-22-173410,"",173.251.20.37,WINDOWS,"default","",Windows 7 x64 SP: 1,1.0.6.161,""
"SENTINEL\FIRSTANDMAIN50",SENTINEL\firstandmains,"","","",MEDIUM,REGISTERED,2017-01-12-174207,"",2017-08-22-173408,"",173.251.20.37,WINDOWS,"default","",Windows 7 x64 SP: 1,1.0.6.161,""
"SENTINEL\Hall1",SENTINEL\hall,"","","",MEDIUM,REGISTERED,2017-01-18-212340,"",2017-08-22-173407,"",173.251.20.37,WINDOWS,"default","",Windows 10 x64,1.0.6.161,""
"SENTINEL\CAPITALONE",SENTINEL\hirshberg,"","","",MEDIUM,REGISTERED,2017-01-12-173725,"",2017-08-22-173403,"",173.251.20.37,WINDOWS,"default","",Windows 7 x64 SP: 1,1.0.6.161,""
"SENTINEL\MTNSHADOWCA2",SENTINEL\mtn shadows ca m,"","","",MEDIUM,REGISTERED,2017-01-12-175426,"",2017-08-22-173402,"",173.251.20.37,WINDOWS,"default","",Windows 7 x64 SP: 1,1.0.6.161,""
"SENTINEL\COPPERFIELD4",SENTINEL\copperfield a,"","","",MEDIUM,REGISTERED,2017-01-12-173857,"",2017-08-22-173358,"",173.251.20.37,WINDOWS,"default","",Windows 7 x64 SP: 1,1.0.6.161,""
"SENTINEL\MONTERRA14",SENTINEL\monterral2,"","","",MEDIUM,REGISTERED,2017-01-12-175409,"",2017-08-22-173349,"",173.251.20.37,WINDOWS,"default","",Windows 7 x64 SP: 1,1.0.6.161,""
"SENTINEL\GRANDCENT2",SENTINEL\grand centennial m,"","","",MEDIUM,REGISTERED,2017-01-12-174231,"",2017-08-22-173346,"",173.251.20.37,WINDOWS,"default","",Windows 7 x64 SP: 1,1.0.6.161,""
