Devicename,Username,Registered Date,Last Contact,Last Internal Ip Address,Last External Ip Address,Device Type,OS,Sensor Version
SENTINEL\AVANT13,SENTINEL\avantl,2017-1-12 17:30:5,2017-8-22 17:41:7,,173.251.20.37,WINDOWS,Windows 7 x64 SP: 1,1.0.6.161
SENTINEL\MTNSHADOW3,SENTINEL\mtn shadows ca a,2017-1-12 17:54:10,2017-8-22 17:41:2,,173.251.20.37,WINDOWS,Windows 7 x64 SP: 1,1.0.6.161
SENTINEL\LINKPLUMCREEK50,SENTINEL\linksatplumcreeks,2017-8-22 14:13:56,2017-8-22 17:40:58,,173.251.20.37,WINDOWS,Windows 7 x64 SP: 1,1.0.6.161
SENTINEL\DELISA,SENTINEL\delisa,2017-3-2 17:53:24,2017-8-22 17:40:53,127.0.0.1,173.251.20.37,WINDOWS,Windows 7 x64 SP: 1,1.0.6.161
SENTINEL\CARRINGTON1,SENTINEL\carrington,2017-1-12 17:38:39,2017-8-22 17:40:53,127.0.0.1,173.251.20.37,WINDOWS,Windows 7 x64 SP: 1,1.0.6.161
SENTINEL\CHUM,SENTINEL\chum,2017-1-12 17:37:27,2017-8-22 17:40:49,172.20.8.78,173.251.20.37,WINDOWS,Windows 7 x64 SP: 1,1.0.6.161
SENTINEL\ASHTONPARC1,SENTINEL\Ashtonparc m,2017-1-12 17:30:46,2017-8-22 17:40:47,,173.251.20.37,WINDOWS,Windows 7 x64 SP: 1,1.0.6.161
SENTINEL\ARROWHEAD1,SENTINEL\arrowhead m,2017-1-12 17:30:57,2017-8-22 17:40:47,,173.251.20.37,WINDOWS,Windows 7 x64 SP: 1,1.0.6.161
SENTINEL\OMARASHVILI,SENTINEL\omarashvili,2017-4-4 20:13:34,2017-8-22 17:40:43,,173.251.20.37,WINDOWS,Windows 7 x64 SP: 1,1.0.6.161
SENTINEL\LINKSPLUMCREEK1,SENTINEL\plumcreekm,2017-8-22 14:13:55,2017-8-22 17:40:42,,173.251.20.37,WINDOWS,Windows 7 x64 SP: 1,1.0.6.161
SENTINEL\WOODBERRY3,SENTINEL\woodberry a,2017-1-12 17:56:34,2017-8-22 17:40:30,127.0.0.1,173.251.20.37,WINDOWS,Windows 7 x64 SP: 1,1.0.6.161
SENTINEL\WINDWARD2,SENTINEL\windward place a,2017-1-12 17:56:57,2017-8-22 17:40:30,,173.251.20.37,WINDOWS,Windows 7 x64 SP: 1,1.0.6.161
SENTINEL\OSBORNECO,SENTINEL\osborne,2017-2-13 17:14:13,2017-8-22 17:40:25,127.0.0.1,173.251.20.37,WINDOWS,Windows 7 x64 SP: 1,1.0.6.161
SENTINEL\RIVERPLACECOMM4,SENTINEL\zula,2017-1-12 18:5:2,2017-8-22 17:40:23,,173.251.20.37,WINDOWS,Windows 7 x64 SP: 1,1.0.6.161
